Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Kent Bazemore\bazemke01,27,54,51,1482,5.2,13.2,0.398,1.6,4.8,0.332,3.7,8.4,0.435,2.1,3,0.715,0.8,3.4,4.2,3.4,1.7,0.9,2.3,2.9,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Tim Hardaway\hardati02,24,54,15,1354,6.9,15.5,0.446,2.6,7.3,0.349,4.4,8.2,0.532,2.4,3.3,0.72,0.5,3.1,3.6,3.1,0.9,0.3,1.6,1.7,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Thabo Sefolosha\sefolth01,32,44,29,1137,4.2,9.2,0.457,0.8,2.5,0.329,3.4,6.6,0.505,1.4,1.8,0.772,1.1,4.9,6,2.2,2.3,0.7,1.3,2.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Malcolm Delaney\delanma01,27,56,0,991,4.5,11.6,0.39,0.8,3.2,0.258,3.7,8.3,0.441,2.2,2.7,0.811,0.3,3.3,3.6,5.5,1.1,0,2.8,3.2,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Mike Muscala\muscami01,25,50,3,984,5.1,10,0.513,1.3,3.1,0.424,3.8,6.9,0.553,1.5,2,0.778,2.2,4.5,6.7,2.5,0.9,1.2,1.6,2.9,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Kyle Korver\korveky01,35,32,21,894,4.3,9.9,0.441,2.6,6.4,0.409,1.7,3.5,0.5,1,1.1,0.889,0,3.6,3.6,3,0.9,0.5,1.6,1.9,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Kris Humphries\humphkr01,31,44,1,522,4.9,11,0.444,1,2.8,0.366,3.9,8.2,0.471,3.4,4.3,0.79,3.1,7.2,10.3,1.5,0.8,1.1,1.7,3.9,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Taurean Waller-Prince\princta02,22,33,0,353,3.9,10.5,0.369,1.1,4.1,0.275,2.8,6.4,0.429,3,3.3,0.906,0.7,5.9,6.6,2.1,1.3,0.9,2.3,4,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Mike Dunleavy\dunlemi02,36,18,0,292,4.6,10.1,0.451,2.7,6.3,0.431,1.8,3.8,0.484,1.1,1.4,0.818,0.9,4.6,5.4,2.1,0.6,0.2,1.4,2.7,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,DeAndre' Bembry\bembrde01,22,26,0,269,4.7,9.9,0.473,0,1.5,0,4.7,8.4,0.556,0.8,1.9,0.429,1.1,4.4,5.5,2.7,0.7,0.4,1.3,2,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Mike Scott\scottmi01,28,18,0,195,3.1,10.7,0.293,0.7,5,0.148,2.4,5.7,0.419,1.3,1.5,0.875,1.8,5,6.8,3.1,0.7,0.6,1.5,2.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Ryan Kelly\kellyry01,25,9,0,47,2.3,7.7,0.3,1.5,3.8,0.4,0.8,3.8,0.2,1.5,1.5,1,0,7.7,7.7,3.8,3.1,1.5,1.5,2.3,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Lamar Patterson\pattela01,25,4,0,30,3.6,14.4,0.25,1.2,6,0.2,2.4,8.4,0.286,2.4,3.6,0.667,1.2,6,7.2,3.6,1.2,0,4.8,7.2,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Gary Neal\nealga01,32,2,0,18,0,14,0,0,4,0,0,10,0,8,8,1,0,2,2,2,0,0,0,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,Walter Tavares\tavarwa01,24,1,0,4,9,9,1,0,0,,9,9,1,0,18,0,0,9,9,0,0,0,0,0,18.0Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Indiana Pacers,Jeff Teague\teaguje01,28,57,57,1856,5.5,12.2,0.45,1.1,3.1,0.352,4.4,9.2,0.483,4.9,5.8,0.852,0.5,4.1,4.6,9,1.6,0.5,3.1,2.3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Paul George\georgpa01,26,50,50,1786,7.8,17.6,0.446,2.3,6,0.383,5.5,11.5,0.479,4.5,4.9,0.914,0.9,5.4,6.2,3.3,1.6,0.3,2.9,2.6,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Myles Turner\turnemy01,20,56,56,1732,6.7,13,0.518,0.7,2,0.362,6,11.1,0.545,4,5,0.797,1.8,6.5,8.4,1.3,1,2.5,1.7,3.8,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Thaddeus Young\youngth01,28,49,49,1524,5.7,11,0.522,1,2.6,0.396,4.7,8.3,0.561,0.9,1.5,0.571,1.7,5.3,7.1,1.9,2.1,0.6,1.7,2.2,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Monta Ellis\ellismo01,31,49,23,1331,4.1,9.3,0.442,0.6,2.1,0.304,3.5,7.2,0.483,2,2.5,0.787,0.2,3.5,3.7,4.5,1.2,0.5,2.4,2.7,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Glenn Robinson\robingl02,23,55,27,1204,3.9,8.4,0.459,1.1,3,0.384,2.7,5.4,0.5,1.3,1.8,0.721,1.5,4.5,6,1.2,0.9,0.5,1,1.6,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,C.J. Miles\milescj01,29,51,14,1177,5.8,13.2,0.434,3.4,8.1,0.417,2.4,5.1,0.461,1.7,2,0.875,0.5,4.1,4.6,0.9,1,0.6,0.9,3.2,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,
